probe 

127	t=0.000000	p0=0.000000	h0=0.000000
128	t=0.000000	p0=0.000000	h0=0.000000
129	t=0.000000	p0=0.000000	h0=0.000000
130	t=0.000000	p0=0.000000	h0=0.000000
131	t=0.000000	p0=0.000000	h0=0.000000
132	t=0.000000	p0=0.000000	h0=0.000000
133	t=0.000000	p0=0.000000	h0=0.000000
134	t=0.000000	p0=0.000000	h0=0.000000
135	t=0.000000	p0=0.000000	h0=0.000000
136	t=0.000000	p0=0.000000	h0=0.000000
137	t=0.000000	p0=0.000000	h0=0.000000
138	t=0.000000	p0=0.000000	h0=0.000000
139	t=0.000000	p0=0.000000	h0=0.000000
140	t=0.000000	p0=0.000000	h0=0.000000
141	t=0.000000	p0=0.000000	h0=0.000000
142	t=0.000000	p0=0.000000	h0=0.000000
143	t=0.000000	p0=0.000000	h0=0.000000
144	t=0.000000	p0=0.000000	h0=0.000000
145	t=0.000000	p0=0.000000	h0=0.000000
146	t=0.000000	p0=0.000000	h0=0.000000
147	t=0.000000	p0=0.000000	h0=0.000000
148	t=0.000000	p0=0.000000	h0=0.000000
149	t=0.000000	p0=0.000000	h0=0.000000
150	t=0.000000	p0=0.000000	h0=0.000000
151	t=0.000000	p0=0.000000	h0=0.000000
152	t=0.000000	p0=0.000000	h0=0.000000
153	t=0.000000	p0=0.000000	h0=0.000000
154	t=0.000000	p0=0.000000	h0=0.000000
155	t=0.000000	p0=0.000000	h0=0.000000
156	t=0.000000	p0=0.000000	h0=0.000000
157	t=0.000000	p0=0.000000	h0=0.000000
158	t=0.000000	p0=0.000000	h0=0.000000
159	t=0.000000	p0=0.000000	h0=0.000000
160	t=0.000000	p0=0.000000	h0=0.000000
161	t=0.000000	p0=0.000000	h0=0.000000
162	t=0.000000	p0=0.000000	h0=0.000000
163	t=0.000000	p0=0.000000	h0=0.000000
164	t=0.000000	p0=0.000000	h0=0.000000
165	t=0.000000	p0=0.000000	h0=0.000000
166	t=0.000000	p0=0.000000	h0=0.000000
167	t=0.000000	p0=0.000000	h0=0.000000
168	t=0.000000	p0=0.000000	h0=0.000000
169	t=0.000000	p0=0.000000	h0=0.000000
170	t=0.000000	p0=0.000000	h0=0.000000
171	t=0.000000	p0=0.000000	h0=0.000000
172	t=0.000000	p0=0.000000	h0=0.000000
173	t=0.000000	p0=0.000000	h0=0.000000
174	t=0.000000	p0=0.000000	h0=0.000000
175	t=0.000000	p0=0.000000	h0=0.000000
176	t=0.000000	p0=0.000000	h0=0.000000
177	t=0.000000	p0=0.000000	h0=0.000000
178	t=0.000000	p0=0.000000	h0=0.000000
179	t=0.000000	p0=0.000000	h0=0.000000
180	t=0.000000	p0=0.000000	h0=0.000000
181	t=0.000000	p0=0.000000	h0=0.000000
182	t=0.000000	p0=0.000000	h0=0.000000
183	t=0.000000	p0=0.000000	h0=0.000000
184	t=0.000000	p0=0.000000	h0=0.000000
185	t=0.000000	p0=0.000000	h0=0.000000
186	t=0.000000	p0=0.000000	h0=0.000000
187	t=0.000000	p0=0.000000	h0=0.000000
188	t=0.000000	p0=0.000000	h0=0.000000
189	t=0.000000	p0=0.000000	h0=0.000000
190	t=0.000000	p0=0.000000	h0=0.000000
